,rule,lift
48,"Building Material, Transit Station -> Accountant Office",1.8604519006181057
49,"Accountant Office -> Building Material, Transit Station",1.8604519006181053
50,"Building Material -> Real Estate, Home Appliances",1.8446157570622328
51,"Real Estate, Home Appliances -> Building Material",1.8446157570622328
52,"Real Estate, Hair Salon -> Park",1.8442767741368322
53,"Park -> Real Estate, Hair Salon",1.844276774136832
54,"Home Appliances -> Real Estate, Building Material",1.834429263595053
55,"Real Estate, Building Material -> Home Appliances",1.8344292635950528
56,"Park, Transit Station -> Elderly Care Home",1.826360859400331
57,"Elderly Care Home -> Park, Transit Station",1.8263608594003309
58,"Real Estate, Building Material, Transit Station -> Park",1.8254037275073842
59,"Park -> Real Estate, Building Material, Transit Station",1.8254037275073842
60,Accountant Office -> Real Estate,1.8215963574945266
61,Real Estate -> Accountant Office,1.8215963574945264
62,"Park -> Hair Salon, Transit Station",1.8163681274950931
63,"Hair Salon, Transit Station -> Park",1.8163681274950931
64,"Real Estate, Home Appliances -> Park",1.8157557162626305
65,"Park -> Real Estate, Home Appliances",1.8157557162626305
66,"Park -> Real Estate, Building Material",1.803499376828371
67,"Real Estate, Building Material -> Park",1.803499376828371
68,"Real Estate, Transit Station -> Park",1.7984261528379966
69,"Park -> Real Estate, Transit Station",1.7984261528379966
70,"Park, Transit Station -> Accountant Office",1.7832360759295742
71,"Accountant Office -> Park, Transit Station",1.783236075929574
72,Park -> Hair Salon,1.7805549473253481
73,Hair Salon -> Park,1.7805549473253481
74,"Real Estate, Park, Transit Station -> Building Material",1.7783642431912752
75,"Building Material -> Real Estate, Park, Transit Station",1.778364243191275
76,"Building Material -> Home Appliances, Park",1.7722181490341302
77,"Home Appliances, Park -> Building Material",1.7722181490341302
78,Hospital -> Park,1.7654459489340668
79,Park -> Hospital,1.7654459489340666
80,Park -> Real Estate,1.7583216552062673
81,Real Estate -> Park,1.758321655206267
82,"Home Appliances, Transit Station -> Building Material",1.7549273357959643
83,"Building Material -> Home Appliances, Transit Station",1.7549273357959643
84,"Building Material -> Real Estate, Transit Station",1.7520818633335475
85,"Real Estate, Transit Station -> Building Material",1.7520818633335473
86,"Building Material, Transit Station -> Home Appliances",1.749813595752701
87,"Home Appliances -> Building Material, Transit Station",1.7498135957527008
88,"Building Material -> Hair Salon, Transit Station",1.7468480628736605
89,"Hair Salon, Transit Station -> Building Material",1.7468480628736605
90,"Accountant Office, Transit Station -> Park",1.7455925903476888
91,"Park -> Accountant Office, Transit Station",1.7455925903476885
92,"Accountant Office, Transit Station -> Building Material",1.7453620805278947
93,"Building Material -> Accountant Office, Transit Station",1.7453620805278947
94,"Home Appliances -> Real Estate, Park",1.7438211014932365
95,"Real Estate, Park -> Home Appliances",1.7438211014932365
96,"Real Estate, Park -> Building Material",1.7416683085894091
97,"Building Material -> Real Estate, Park",1.7416683085894091
98,"Park, Building Material -> Home Appliances",1.7389944708756593
99,"Home Appliances -> Park, Building Material",1.738994470875659
100,"Elderly Care Home, Transit Station -> Park",1.7383004946111233
101,"Park -> Elderly Care Home, Transit Station",1.7383004946111231
102,"Home Appliances -> Real Estate, Transit Station",1.734483011932984
103,"Real Estate, Transit Station -> Home Appliances",1.734483011932984
104,"Heavy Industry, Transit Station -> Building Material",1.710555046233316
105,"Building Material -> Heavy Industry, Transit Station",1.7105550462333157
106,Building Material -> Real Estate,1.6980394573602686
107,Real Estate -> Building Material,1.6980394573602686
108,Hair Salon -> Home Appliances,1.6937841729554894
109,Home Appliances -> Hair Salon,1.6937841729554894
110,Park -> Laundry ,1.6921834846959056
111,Laundry  -> Park,1.6921834846959054
112,Home Appliances -> Real Estate,1.6886623999578307
113,Real Estate -> Home Appliances,1.6886623999578305
114,"Park -> Building Material, Transit Station",1.6860048996508694
115,"Building Material, Transit Station -> Park",1.6860048996508694
116,Hair Salon -> Building Material,1.6822097313457705
117,Building Material -> Hair Salon,1.6822097313457702
118,"Building Material, Transit Station -> Heavy Industry",1.6710568448017258
119,"Heavy Industry -> Building Material, Transit Station",1.6710568448017258
120,"Home Appliances, Transit Station -> Park",1.6662969115873232
121,"Park -> Home Appliances, Transit Station",1.666296911587323
122,Park -> Elderly Care Home,1.6518456762080365
123,Elderly Care Home -> Park,1.6518456762080362
124,"Transit Station -> Hair Salon, Building Material",1.646572155952442
125,"Hair Salon, Building Material -> Transit Station",1.646572155952442
126,"Real Estate, Hair Salon -> Transit Station",1.6384872267176422
127,"Transit Station -> Real Estate, Hair Salon",1.6384872267176422
128,Building Material -> Accountant Office,1.6327546256663128
129,Accountant Office -> Building Material,1.6327546256663128
130,Home Appliances -> Accountant Office,1.6317740796636053
131,Accountant Office -> Home Appliances,1.6317740796636053
132,Elderly Care Home -> Building Material,1.6291697739484363
133,Building Material -> Elderly Care Home,1.6291697739484363
134,"Real Estate, Accountant Office -> Transit Station",1.6240596137949082
135,"Transit Station -> Real Estate, Accountant Office",1.624059613794908
136,Driving School -> Building Material,1.6222873522299015
137,Building Material -> Driving School,1.6222873522299015
138,"Transit Station -> Real Estate, Elderly Care Home",1.6212195848765152
139,"Real Estate, Elderly Care Home -> Transit Station",1.621219584876515
140,Hospital -> Transit Station,1.6176083565826762
141,Transit Station -> Hospital,1.6176083565826762
142,"Transit Station -> Hair Salon, Park",1.6175371638144573
143,"Hair Salon, Park -> Transit Station",1.6175371638144571
144,"Park, Transit Station -> Building Material",1.6158158878385447
145,"Building Material -> Park, Transit Station",1.6158158878385447
146,"Transit Station -> Real Estate, Park, Building Material",1.6116965673962445
147,"Real Estate, Park, Building Material -> Transit Station",1.6116965673962442
148,"Home Appliances, Building Material -> Park",1.60813523206149
149,"Park -> Home Appliances, Building Material",1.60813523206149
150,"Park -> Heavy Industry, Transit Station",1.6069930905614465
151,"Heavy Industry, Transit Station -> Park",1.6069930905614465
152,Heavy Industry -> Accountant Office,1.6063065050627618
153,Accountant Office -> Heavy Industry,1.6063065050627618
154,Home Appliances -> Building Material,1.6035720497414554
155,Building Material -> Home Appliances,1.6035720497414554
156,"Park, Accountant Office -> Transit Station",1.6034628981624268
157,"Transit Station -> Park, Accountant Office",1.6034628981624266
158,Bank -> Transit Station,1.5978135022776476
159,Transit Station -> Bank,1.5978135022776476
160,Heavy Industry -> Real Estate,1.592999892602073
161,Real Estate -> Heavy Industry,1.5929998926020728
162,"Transit Station -> Real Estate, Building Material",1.5923566447980713
163,"Real Estate, Building Material -> Transit Station",1.5923566447980713
164,"Park, Transit Station -> Home Appliances",1.5922750090135063
165,"Home Appliances -> Park, Transit Station",1.5922750090135063
166,Fishing -> Transit Station,1.5872288882120862
167,Transit Station -> Fishing,1.587228888212086
168,Hair Salon -> Transit Station,1.5856443173137682
169,Transit Station -> Hair Salon,1.585644317313768
170,"Real Estate, Home Appliances -> Transit Station",1.5851156191044042
171,"Transit Station -> Real Estate, Home Appliances",1.5851156191044042
172,Park -> Accountant Office,1.5812787226191676
173,Accountant Office -> Park,1.5812787226191676
174,"Real Estate, Park -> Transit Station",1.578439762969558
175,"Transit Station -> Real Estate, Park",1.5784397629695577
176,"Transit Station -> Elderly Care Home, Park",1.5720835428995825
177,"Elderly Care Home, Park -> Transit Station",1.5720835428995823
178,"Park, Heavy Industry -> Transit Station",1.5627367521507982
179,"Transit Station -> Park, Heavy Industry",1.5627367521507982
180,"Transit Station -> Home Appliances, Park",1.5559037048358964
181,"Home Appliances, Park -> Transit Station",1.5559037048358964
182,"Transit Station -> Accountant Office, Building Material",1.5527054105987956
183,"Accountant Office, Building Material -> Transit Station",1.5527054105987954
184,"Park, Building Material -> Transit Station",1.5493071729132013
185,"Transit Station -> Park, Building Material",1.549307172913201
186,Transit Station -> Laundry ,1.5477735934157375
187,Laundry  -> Transit Station,1.5477735934157373
188,Heavy Industry -> Home Appliances,1.5471234546262365
189,Home Appliances -> Heavy Industry,1.5471234546262365
190,Transit Station -> Real Estate,1.5432409122211155
191,Real Estate -> Transit Station,1.5432409122211155
192,Building Material -> Heavy Industry,1.5330333990201355
193,Heavy Industry -> Building Material,1.5330333990201355
194,"Heavy Industry -> Park, Transit Station",1.5045312764875405
195,"Park, Transit Station -> Heavy Industry",1.5045312764875403
196,Elderly Care Home -> Transit Station,1.4938955669787273
197,Transit Station -> Elderly Care Home,1.4938955669787273
198,"Home Appliances, Building Material -> Transit Station",1.4869448170878654
199,"Transit Station -> Home Appliances, Building Material",1.4869448170878652
200,"Building Material, Heavy Industry -> Transit Station",1.4853580347837627
201,"Transit Station -> Building Material, Heavy Industry",1.4853580347837627
202,Park -> Building Material,1.4829033407103225
203,Building Material -> Park,1.4829033407103223
204,Home Appliances -> Park,1.4551034316761369
205,Park -> Home Appliances,1.4551034316761369
206,Transit Station -> Accountant Office,1.4525277990945658
207,Accountant Office -> Transit Station,1.4525277990945658
208,Park -> Transit Station,1.4218654487750766
209,Transit Station -> Park,1.4218654487750764
210,Heavy Industry -> Park,1.3689068460793878
211,Park -> Heavy Industry,1.3689068460793876
212,Transit Station -> Driving School,1.3667709243048929
213,Driving School -> Transit Station,1.3667709243048929
214,Building Material -> Transit Station,1.3626726606637987
215,Transit Station -> Building Material,1.3626726606637987
216,Transit Station -> Home Appliances,1.3587019243212959
217,Home Appliances -> Transit Station,1.3587019243212959
218,Heavy Industry -> Transit Station,1.3312073656095769
219,Transit Station -> Heavy Industry,1.3312073656095766
