Pattern
"((19, 16), (20, 16))"
"((79, 99), (77, 100))"
"((47, 87), (48, 87))"
"((86, 90), (86, 91))"
"((90, 93), (91, 94))"
"((91, 109), (88, 106))"
"((77, 100), (77, 99))"
"((88, 95), (79, 99))"
"((79, 99), (78, 99))"
"((67, 102), (66, 103))"
"((88, 106), (88, 107))"
"((91, 109), (91, 108))"
"((96, 98), (96, 99))"
"((107, 156), (108, 168))"
"((180, 18), (180, 19))"
"((88, 106), (91, 109))"
"((97, 98), (96, 99))"
"((78, 99), (77, 100))"
"((96, 99), (95, 100))"
"((88, 107), (91, 109))"
"((191, 44), (191, 45))"
"((79, 99), (88, 95))"
"((95, 100), (97, 98))"
"((77, 99), (77, 100))"
"((86, 119), (85, 120))"
"((88, 95), (77, 100))"
"((47, 88), (48, 87), (47, 88))"
"((47, 88), (47, 87), (47, 88))"
"((67, 102), (66, 103))"
"((88, 95), (77, 99), (77, 100))"
"((86, 119), (86, 120), (86, 119))"
"((96, 99), (95, 100))"
"((77, 100), (79, 99), (88, 95))"
"((48, 87), (47, 88))"
"((66, 102), (67, 102), (66, 103))"
"((77, 100), (79, 99), (77, 100))"
"((77, 99), (78, 99), (77, 99))"
"((88, 95), (77, 99), (88, 95))"
"((66, 103), (66, 102), (66, 103))"
"((78, 99), (77, 99))"
"((47, 87), (48, 87))"
"((77, 99), (77, 100))"
"((96, 98), (97, 98))"
"((97, 98), (96, 99), (95, 100))"
"((66, 102), (66, 103))"
"((96, 99), (95, 100), (97, 98))"
"((66, 103), (66, 102), (67, 102))"
"((79, 99), (77, 99))"
"((66, 102), (66, 103), (67, 102))"
"((66, 103), (66, 102))"
"((66, 101), (66, 103))"
"((95, 100), (96, 99), (97, 98))"
"((47, 87), (47, 88))"
"((108, 168), (109, 169))"
"((47, 88), (48, 87), (47, 87))"
"((97, 98), (96, 99))"
"((47, 87), (47, 88))"
"((79, 99), (77, 100), (77, 99))"
"((77, 100), (79, 99))"
"((96, 99), (97, 98))"
"((97, 98), (95, 100), (97, 98))"
"((47, 88), (47, 87), (48, 87))"
"((48, 87), (47, 88), (47, 87))"
"((66, 103), (66, 102), (66, 101))"
"((108, 168), (108, 166))"
"((77, 99), (79, 99), (77, 99))"
"((88, 95), (77, 99), (79, 99))"
"((97, 98), (95, 100))"
"((66, 102), (66, 101))"
"((79, 99), (77, 99), (77, 100))"
"((66, 103), (67, 102), (66, 103))"
"((96, 98), (97, 98), (96, 99))"
"((48, 87), (47, 87), (48, 87))"
"((66, 102), (66, 103), (66, 101))"
"((77, 100), (77, 99))"
"((88, 95), (77, 100), (77, 99))"
"((86, 120), (86, 119))"
"((109, 169), (108, 168), (109, 169))"
"((66, 101), (66, 103), (66, 101))"
"((88, 95), (77, 99))"
"((77, 99), (79, 99), (88, 95))"
"((47, 88), (48, 87))"
"((108, 168), (108, 165))"
"((48, 87), (47, 87), (47, 88))"
"((77, 100), (77, 99), (77, 100))"
"((77, 100), (88, 95))"
"((77, 99), (79, 99), (77, 100))"
"((66, 102), (66, 101), (66, 102))"
"((96, 99), (97, 98), (96, 99))"
"((96, 99), (97, 98), (96, 99))"
"((66, 103), (66, 102), (66, 103))"
"((47, 88), (48, 87), (47, 87), (47, 88))"
"((47, 88), (47, 87), (47, 88))"
"((96, 98), (97, 98), (96, 99))"
"((47, 88), (48, 87), (47, 88), (47, 87))"
"((47, 87), (47, 88))"
"((47, 88), (48, 87), (47, 88))"
"((47, 88), (48, 87), (47, 87), (48, 87))"
"((66, 103), (66, 102), (66, 103), (66, 101))"
"((67, 117), (67, 118))"
"((71, 61), (71, 60))"
"((80, 86), (83, 84))"
"((72, 47), (72, 48))"
"((195, 32), (195, 33))"
"((43, 46), (43, 47))"
"((72, 47), (73, 47))"
"((43, 47), (44, 47))"
"((73, 47), (72, 48))"
"((82, 84), (80, 86))"
"((50, 200), (49, 200))"
"((66, 64), (65, 64))"
"((70, 65), (69, 65))"
"((67, 116), (67, 117))"
"((36, 49), (37, 48))"
"((49, 200), (50, 200))"
"((65, 64), (65, 63))"
"((72, 48), (73, 47))"
"((72, 48), (72, 47))"
"((69, 65), (70, 65))"
"((78, 90), (79, 91))"
"((37, 48), (36, 49))"
"((67, 117), (67, 116))"
"((43, 47), (43, 46))"
"((67, 118), (67, 117))"
"((83, 84), (82, 84))"
"((82, 84), (83, 84))"
"((43, 46), (48, 44))"
"((73, 47), (72, 47))"
"((65, 63), (65, 64))"
"((73, 47), (72, 48))"
"((36, 49), (37, 48))"
"((50, 200), (49, 200), (50, 200))"
"((72, 47), (72, 48), (73, 47))"
"((72, 48), (73, 47))"
"((72, 47), (73, 47))"
"((72, 47), (72, 48), (72, 47))"
"((73, 47), (72, 48), (73, 47))"
"((72, 48), (73, 47))"
"((36, 49), (37, 48), (36, 49))"
"((72, 47), (72, 48))"
"((36, 49), (37, 48))"
"((67, 117), (67, 118), (67, 117))"
"((72, 48), (72, 47))"
"((72, 47), (73, 47), (72, 48))"
"((63, 139), (57, 152))"
"((85, 100), (86, 100))"
"((43, 46), (43, 44))"
"((34, 40), (33, 40))"
"((36, 97), (36, 95))"
"((82, 140), (81, 141))"
"((33, 40), (34, 40))"
"((86, 94), (87, 93))"
"((94, 96), (94, 95))"
"((43, 44), (42, 45))"
"((42, 44), (43, 44))"
"((81, 141), (81, 142))"
"((107, 108), (107, 109))"
"((43, 44), (48, 44))"
"((43, 45), (43, 44))"
"((43, 44), (42, 44))"
"((36, 95), (36, 97))"
"((87, 93), (86, 94))"
"((81, 141), (82, 140))"
"((43, 46), (43, 45))"
"((72, 95), (72, 94))"
"((43, 45), (43, 46))"
"((82, 140), (81, 142))"
"((87, 94), (86, 94))"
"((72, 94), (72, 95))"
"((42, 45), (43, 44))"
"((97, 105), (97, 106))"
"((43, 44), (43, 46))"
"((47, 126), (47, 125))"
"((47, 125), (47, 126))"
"((82, 84), (81, 84))"
"((43, 44), (44, 46))"
"((107, 109), (107, 108))"
"((95, 113), (107, 109))"
"((81, 142), (81, 141))"
"((43, 44), (43, 45))"
"((94, 95), (94, 96))"
"((42, 45), (43, 46))"
"((48, 44), (43, 44))"
"((109, 107), (107, 109))"
"((107, 109), (95, 113))"
"((43, 46), (42, 45))"
"((81, 142), (82, 140))"
"((97, 106), (97, 105))"
"((44, 46), (43, 44))"
"((81, 84), (82, 84))"
"((44, 45), (43, 44))"
"((81, 142), (82, 140))"
"((43, 44), (42, 45))"
"((43, 44), (42, 45), (43, 44))"
"((82, 84), (81, 84))"
"((95, 113), (107, 109))"
"((43, 45), (43, 44), (43, 45))"
"((94, 96), (94, 95))"
"((107, 109), (95, 113))"
"((33, 40), (34, 40))"
"((72, 94), (72, 95))"
"((34, 40), (33, 40))"
"((43, 44), (43, 45))"
"((36, 97), (36, 95), (36, 97))"
"((72, 94), (72, 95))"
"((43, 45), (43, 44), (43, 46))"
"((82, 140), (81, 142))"
"((43, 44), (43, 46))"
"((82, 140), (81, 142), (82, 140))"
"((36, 97), (36, 95))"
"((43, 44), (43, 46))"
"((94, 96), (94, 95), (94, 96))"
"((72, 95), (72, 94), (72, 95))"
"((43, 46), (43, 44), (43, 46))"
"((86, 94), (87, 93), (86, 94))"
"((36, 95), (36, 97))"
"((34, 40), (33, 40), (34, 40))"
"((94, 95), (94, 96))"
"((82, 140), (81, 142))"
"((43, 45), (43, 44))"
"((94, 95), (94, 96))"
"((95, 113), (107, 109), (95, 113))"
"((43, 46), (43, 44), (42, 45))"
"((43, 46), (43, 44))"
"((94, 95), (94, 96))"
"((94, 96), (94, 95), (94, 96))"
"((94, 96), (94, 95), (94, 96))"
"((72, 94), (72, 95))"
"((74, 81), (73, 84))"
"((71, 69), (72, 69))"
"((77, 148), (77, 147))"
"((75, 82), (74, 83))"
"((73, 84), (74, 83))"
"((75, 81), (73, 83))"
"((74, 81), (74, 84))"
"((78, 82), (79, 89))"
"((74, 83), (75, 81))"
"((74, 83), (73, 84))"
"((71, 94), (74, 92))"
"((73, 84), (75, 82))"
"((74, 84), (75, 83))"
"((74, 46), (73, 46))"
"((82, 94), (83, 95))"
"((73, 83), (74, 84))"
"((82, 94), (83, 94))"
"((83, 95), (82, 94))"
"((74, 84), (74, 83))"
"((90, 138), (89, 138))"
"((72, 69), (71, 69))"
"((75, 82), (74, 81))"
"((73, 84), (74, 81))"
"((75, 82), (74, 80))"
"((74, 83), (74, 84))"
"((74, 81), (74, 83))"
"((71, 94), (72, 94))"
"((75, 81), (75, 82))"
"((67, 61), (66, 61))"
"((74, 84), (75, 82))"
"((75, 82), (73, 83))"
"((73, 84), (73, 83))"
"((52, 83), (52, 82))"
"((72, 94), (74, 92))"
"((74, 81), (75, 81))"
"((74, 84), (74, 81))"
"((73, 84), (74, 84))"
"((76, 61), (76, 60))"
"((77, 147), (77, 148))"
"((73, 83), (75, 81))"
"((75, 81), (73, 84))"
"((73, 83), (73, 84))"
"((72, 94), (71, 94))"
"((74, 84), (73, 83))"
"((76, 60), (76, 61))"
"((90, 138), (75, 107))"
"((74, 81), (73, 83))"
"((74, 83), (74, 81))"
"((75, 81), (74, 84))"
"((75, 83), (75, 82))"
"((75, 82), (75, 81))"
"((73, 84), (75, 81))"
"((75, 82), (73, 84))"
"((75, 81), (74, 83))"
"((74, 81), (75, 82))"
"((52, 82), (52, 83))"
"((73, 46), (74, 46))"
"((75, 83), (73, 84))"
"((89, 138), (90, 138))"
"((75, 82), (74, 84))"
"((83, 94), (82, 94))"
"((73, 83), (75, 82))"
"((74, 84), (75, 81))"
"((75, 83), (74, 84))"
"((74, 84), (73, 84))"
"((89, 138), (75, 107))"
"((74, 83), (75, 82))"
"((79, 89), (78, 82))"
"((75, 81), (74, 81))"
"((73, 83), (74, 81))"
"((83, 94), (83, 95))"
"((74, 81), (73, 84), (74, 81))"
"((73, 84), (74, 84), (73, 84))"
"((72, 94), (71, 94))"
"((73, 83), (75, 81), (74, 81))"
"((73, 84), (74, 81), (75, 81))"
"((73, 84), (73, 83), (74, 81))"
"((75, 82), (74, 81), (75, 82))"
"((75, 81), (73, 84))"
"((74, 81), (74, 84), (75, 82))"
"((73, 84), (75, 82), (74, 84))"
"((74, 81), (75, 81))"
"((74, 83), (73, 84), (75, 81))"
"((73, 84), (74, 81))"
"((74, 81), (75, 81), (74, 84))"
"((74, 81), (75, 82))"
"((75, 82), (75, 81))"
"((73, 84), (75, 82), (73, 84))"
"((75, 82), (74, 84))"
"((73, 84), (74, 84), (75, 81))"
"((74, 84), (75, 82))"
"((73, 84), (74, 84))"
"((73, 84), (75, 81))"
"((74, 81), (75, 81), (74, 81))"
"((74, 83), (73, 84))"
"((75, 81), (73, 84), (75, 81))"
"((75, 82), (73, 84))"
"((75, 82), (75, 81))"
"((74, 84), (73, 83), (75, 82))"
"((74, 81), (75, 82), (74, 84))"
"((74, 83), (75, 81))"
"((71, 94), (72, 94), (71, 94))"
"((74, 84), (73, 84))"
"((73, 84), (74, 81), (75, 82))"
"((73, 84), (75, 81), (74, 81))"
"((73, 83), (73, 84))"
"((74, 84), (73, 83), (74, 81))"
"((73, 84), (75, 82), (75, 81))"
"((75, 82), (75, 81), (74, 81))"
"((82, 94), (83, 95))"
"((74, 83), (75, 81), (73, 84))"
"((89, 138), (90, 138))"
"((74, 83), (73, 84), (75, 82))"
"((74, 84), (74, 81))"
"((73, 83), (74, 84), (73, 84))"
"((73, 84), (75, 82), (74, 81))"
"((75, 81), (74, 84))"
"((74, 84), (75, 82), (73, 83))"
"((74, 84), (75, 81))"
"((72, 94), (71, 94))"
"((52, 83), (52, 82), (52, 83))"
"((73, 83), (73, 84), (75, 81))"
"((75, 81), (74, 84), (73, 84))"
"((75, 82), (73, 83), (73, 84))"
"((90, 138), (89, 138), (90, 138))"
"((75, 81), (75, 82), (75, 81))"
"((75, 81), (75, 82), (74, 84))"
"((74, 84), (74, 81), (75, 82))"
"((73, 83), (74, 84), (75, 81))"
"((73, 84), (75, 82))"
"((73, 83), (74, 84))"
"((74, 81), (74, 84), (73, 84))"
"((82, 94), (83, 95), (82, 94))"
"((74, 81), (73, 84), (75, 81))"
"((75, 82), (73, 84))"
"((74, 81), (73, 84), (74, 84))"
"((75, 81), (75, 82), (73, 84))"
"((73, 84), (73, 83), (75, 81))"
"((75, 81), (74, 84), (75, 81))"
"((73, 83), (74, 84), (74, 81))"
"((75, 82), (73, 83), (75, 82))"
"((52, 83), (52, 82))"
"((75, 82), (74, 84), (75, 81))"
"((73, 84), (74, 84), (73, 83))"
"((74, 81), (73, 84))"
"((71, 94), (72, 94), (74, 92))"
"((74, 84), (75, 82), (73, 84))"
"((73, 83), (75, 81), (73, 84))"
"((73, 84), (73, 83), (73, 84))"
"((75, 82), (74, 81), (75, 81))"
"((75, 82), (73, 83), (74, 81))"
"((74, 81), (74, 84), (75, 81))"
"((75, 82), (74, 84), (73, 84))"
"((74, 81), (73, 84), (74, 83))"
"((75, 81), (74, 81))"
"((74, 81), (74, 84))"
"((75, 81), (75, 82))"
"((75, 82), (74, 81))"
"((73, 83), (74, 84), (75, 82))"
"((74, 84), (75, 81), (74, 81))"
"((73, 84), (75, 82), (73, 83))"
"((74, 81), (74, 84), (74, 81))"
"((74, 84), (75, 82), (75, 81))"
"((82, 94), (83, 95))"
"((74, 81), (73, 84), (75, 82))"
"((73, 83), (75, 81))"
"((74, 84), (75, 82), (74, 84))"
"((73, 83), (75, 81), (74, 84))"
"((74, 81), (75, 81), (73, 84))"
"((73, 84), (73, 83), (75, 82))"
"((73, 84), (74, 84), (75, 81), (74, 81))"
"((75, 81), (75, 82), (74, 84), (73, 84))"
"((74, 81), (73, 84), (74, 81), (75, 81))"
"((75, 82), (74, 81), (75, 81), (73, 84))"
"((75, 82), (74, 84), (73, 84))"
"((75, 81), (73, 84), (75, 81), (74, 81))"
"((74, 81), (75, 82), (74, 84), (73, 84))"
"((73, 84), (75, 82), (74, 81))"
"((74, 81), (73, 84), (74, 81), (75, 82))"
"((74, 81), (75, 81), (74, 81))"
"((73, 84), (75, 82), (73, 84))"
"((75, 82), (74, 81), (75, 82), (74, 84))"
"((73, 84), (74, 81), (75, 81))"
"((75, 82), (75, 81), (74, 81))"
"((71, 94), (72, 94), (71, 94))"
"((74, 84), (75, 82), (73, 84))"
"((73, 84), (74, 81), (75, 81), (74, 84))"
"((74, 81), (73, 84), (74, 81))"
"((73, 84), (74, 84), (75, 81))"
"((73, 84), (75, 82), (74, 84), (75, 81))"
"((75, 82), (73, 84))"
"((73, 84), (74, 81), (75, 82))"
"((73, 84), (74, 81), (75, 81), (73, 84))"
"((73, 84), (74, 81), (75, 81), (74, 81))"
"((75, 82), (75, 81), (74, 81))"
"((74, 83), (73, 84), (75, 81))"
"((73, 84), (75, 81), (74, 81))"
"((73, 84), (75, 82), (74, 81), (75, 81))"
"((75, 81), (75, 82), (74, 84), (75, 81))"
"((75, 82), (74, 84), (75, 81))"
"((73, 84), (75, 82), (74, 84), (73, 84))"
"((73, 84), (74, 84), (73, 84))"
"((73, 84), (75, 82), (75, 81), (74, 81))"
"((75, 82), (75, 81))"
"((75, 82), (74, 84), (75, 81), (74, 81))"
"((74, 84), (75, 82), (73, 84))"
"((74, 81), (73, 84), (74, 81), (75, 81))"
"((131, 83), (128, 80))"
"((125, 81), (130, 78))"
"((83, 80), (83, 78))"
"((130, 78), (128, 80))"
"((79, 141), (79, 143))"
"((83, 80), (84, 79))"
"((130, 78), (129, 80))"
"((136, 114), (137, 114))"
"((130, 78), (125, 81))"
"((77, 139), (79, 141))"
"((129, 80), (128, 80))"
"((128, 80), (130, 78))"
"((83, 78), (83, 80))"
"((137, 114), (136, 114))"
"((125, 81), (129, 80))"
"((83, 80), (68, 107))"
"((80, 93), (81, 94))"
"((79, 143), (79, 141))"
"((68, 107), (69, 107))"
"((128, 80), (129, 80))"
"((81, 94), (80, 93))"
"((128, 80), (125, 81))"
"((129, 80), (130, 78))"
"((125, 81), (128, 80))"
"((50, 115), (50, 114))"
"((84, 79), (83, 80))"
"((69, 107), (68, 107))"
"((84, 79), (83, 78))"
"((128, 80), (131, 83))"
"((129, 80), (125, 81))"
"((83, 78), (84, 79))"
"((79, 141), (79, 143), (79, 141))"
"((130, 78), (128, 80), (125, 81))"
"((130, 78), (128, 80))"
"((136, 114), (137, 114))"
"((129, 80), (128, 80))"
"((79, 141), (79, 143))"
"((68, 107), (69, 107))"
"((83, 80), (83, 78))"
"((128, 80), (129, 80))"
"((128, 80), (125, 81), (128, 80))"
"((68, 107), (69, 107))"
"((130, 78), (129, 80), (128, 80))"
"((69, 107), (68, 107))"
"((130, 78), (128, 80), (129, 80))"
"((130, 78), (125, 81), (128, 80))"
"((128, 80), (125, 81))"
"((130, 78), (128, 80), (130, 78))"
"((68, 107), (69, 107), (68, 107))"
"((78, 82), (78, 83))"
"((179, 13), (179, 14))"
"((127, 180), (127, 178))"
"((74, 84), (74, 85))"
"((127, 178), (127, 181))"
"((74, 80), (74, 79))"
"((88, 98), (88, 97))"
"((74, 79), (75, 78))"
"((127, 181), (127, 178))"
"((42, 46), (42, 49))"
"((79, 71), (79, 70))"
"((79, 70), (75, 78))"
"((75, 79), (74, 79))"
"((74, 79), (74, 80))"
"((75, 78), (75, 79))"
"((78, 82), (77, 83))"
"((82, 117), (80, 92))"
"((78, 83), (78, 82))"
"((75, 79), (75, 78))"
"((74, 79), (75, 79))"
"((127, 178), (131, 173))"
"((74, 85), (74, 84))"
"((127, 178), (127, 180))"
"((74, 79), (79, 71))"
"((179, 14), (179, 13))"
"((82, 101), (82, 102))"
"((79, 70), (75, 79))"
"((49, 115), (49, 114))"
"((74, 80), (73, 80))"
"((79, 70), (79, 71))"
"((75, 78), (74, 79))"
"((49, 114), (49, 115))"
"((77, 83), (78, 82))"
"((127, 178), (127, 181), (127, 178))"
"((74, 79), (75, 78), (74, 79))"
"((79, 70), (79, 71))"
"((127, 178), (127, 180))"
"((74, 79), (75, 78))"
"((127, 178), (127, 181))"
"((127, 180), (127, 178))"
"((127, 181), (127, 178))"
"((127, 180), (127, 178), (127, 180))"
"((79, 71), (79, 70))"
"((75, 78), (74, 79))"
"((79, 71), (79, 70), (79, 71))"
"((119, 87), (131, 86))"
"((75, 73), (75, 74))"
"((69, 69), (69, 68))"
"((75, 73), (76, 74))"
"((76, 74), (75, 74))"
"((70, 69), (69, 69))"
"((121, 88), (122, 89))"
"((34, 48), (33, 39))"
"((89, 158), (78, 93))"
"((74, 74), (75, 73))"
"((69, 69), (70, 69))"
"((131, 86), (119, 87))"
"((72, 90), (71, 90))"
"((110, 89), (106, 99))"
"((122, 89), (121, 88))"
"((75, 73), (74, 74))"
"((106, 99), (110, 89))"
"((89, 158), (90, 158))"
"((76, 74), (74, 74))"
"((33, 39), (34, 48))"
"((71, 90), (72, 90))"
"((90, 158), (89, 158))"
"((76, 74), (75, 73))"
"((75, 73), (80, 97))"
"((78, 94), (78, 93))"
"((74, 74), (76, 74))"
"((80, 97), (75, 73))"
"((78, 93), (89, 158))"
"((75, 74), (75, 73))"
"((110, 89), (106, 99))"
"((33, 39), (34, 48))"
"((72, 90), (71, 90))"
"((76, 74), (75, 73))"
"((75, 73), (74, 74))"
"((34, 48), (33, 39), (34, 48))"
"((74, 74), (75, 73), (74, 74))"
"((33, 39), (34, 48))"
"((89, 158), (78, 93))"
"((89, 158), (78, 93), (89, 158))"
"((74, 74), (75, 73))"
"((72, 90), (71, 90), (72, 90))"
"((75, 73), (76, 74), (75, 73))"
"((33, 39), (34, 48))"
"((34, 48), (33, 39), (34, 48))"
"((115, 166), (114, 165))"
"((72, 100), (72, 98))"
"((69, 103), (68, 104))"
"((115, 166), (116, 166))"
"((34, 46), (34, 47))"
"((115, 165), (114, 164))"
"((115, 165), (116, 166))"
"((73, 99), (72, 100))"
"((72, 99), (73, 98))"
"((34, 47), (33, 46))"
"((72, 98), (73, 98))"
"((85, 125), (85, 124))"
"((82, 80), (83, 80))"
"((34, 46), (34, 45))"
"((94, 93), (93, 93))"
"((33, 46), (34, 47))"
"((116, 166), (115, 165))"
"((73, 99), (72, 99))"
"((73, 99), (72, 98))"
"((59, 114), (59, 113))"
"((59, 113), (59, 114))"
"((72, 99), (72, 100))"
"((114, 165), (115, 166))"
"((72, 98), (72, 100))"
"((34, 45), (33, 46))"
"((71, 91), (71, 90))"
"((114, 164), (115, 165))"
"((72, 100), (73, 98))"
"((44, 45), (45, 45))"
"((94, 93), (94, 84))"
"((72, 99), (73, 99))"
"((34, 45), (34, 46))"
"((72, 98), (73, 99))"
"((72, 99), (72, 98))"
"((73, 98), (72, 100))"
"((85, 124), (85, 125))"
"((72, 98), (72, 99))"
"((116, 166), (115, 166))"
"((83, 80), (82, 80))"
"((58, 114), (59, 114))"
"((93, 95), (94, 95))"
"((73, 98), (73, 99))"
"((116, 166), (114, 165))"
"((73, 98), (72, 99))"
"((59, 114), (58, 114))"
"((94, 95), (93, 95))"
"((73, 98), (72, 98))"
"((59, 113), (58, 114))"
"((73, 99), (73, 98))"
"((34, 47), (34, 46))"
"((33, 46), (34, 46))"
"((45, 45), (44, 45))"
"((72, 100), (73, 99))"
"((34, 46), (33, 46))"
"((71, 90), (71, 91))"
"((72, 100), (72, 99))"
"((72, 99), (72, 98), (72, 99))"
"((115, 165), (116, 166))"
"((72, 99), (72, 100), (72, 99))"
"((72, 98), (72, 100), (72, 99))"
"((72, 100), (73, 98), (72, 99))"
"((33, 46), (34, 46), (33, 46))"
"((73, 98), (72, 100), (72, 99))"
"((72, 100), (73, 99))"
"((33, 46), (34, 46))"
"((72, 99), (72, 100), (73, 98))"
"((72, 98), (72, 100), (73, 98))"
"((72, 99), (72, 98))"
"((72, 100), (73, 98), (72, 98))"
"((34, 47), (34, 46), (33, 46))"
"((72, 99), (73, 98), (72, 100))"
"((72, 98), (73, 98), (72, 100))"
"((73, 98), (72, 100))"
"((34, 45), (34, 46))"
"((72, 100), (72, 98), (72, 100))"
"((82, 80), (83, 80), (82, 80))"
"((115, 165), (116, 166))"
"((72, 99), (73, 98), (72, 99))"
"((72, 99), (72, 98))"
"((72, 98), (73, 98), (72, 99))"
"((72, 99), (72, 100), (73, 99))"
"((73, 98), (72, 99))"
"((72, 98), (72, 100), (73, 99))"
"((73, 98), (72, 100), (73, 99))"
"((72, 99), (73, 98))"
"((72, 100), (72, 98), (72, 99))"
"((72, 100), (72, 99))"
"((72, 99), (73, 98), (72, 98))"
"((72, 100), (72, 98), (73, 98))"
"((83, 80), (82, 80))"
"((73, 98), (72, 98))"
"((115, 165), (116, 166), (115, 165))"
"((72, 99), (72, 100))"
"((72, 98), (72, 100))"
"((72, 100), (73, 98), (72, 100))"
"((73, 98), (72, 100))"
"((34, 46), (33, 46))"
"((73, 99), (72, 99))"
"((72, 100), (72, 98), (72, 100))"
"((72, 100), (73, 98), (72, 100))"
